	sentence	word_labels
15	Ancak sitede bir toplantı yapılmış , toplantıya yarıdan bir fazla kat maliki katılıp çoğunlukla bir blokun altındaki bodrumu kiraya verme kararı almışlar , o blok sakinleri buna muhalif kalmışlar ama yine de bodrum kiraya verilmiş	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
16	Bu yasal mı	O O O
17	O blokun kat maliklerinin itiraz hakkı yok mu	O O O O O O O O
18	A. E. - İstanbul	I-PER I-PER O I-LOC
19	Sitenizdeki altı blok da bir parsel üzerinde ise yapılan iş yasal değil	O O O O O O O O O O O O
20	Çünkü böyle bir mahal ortak yerlerdendir ve ortak yerlerin amacı dışında kullanılabilmesi için tüm bağımsız bölüm maliklerinin oyu lazımdır	O O O O O O O O O O O O O O O O O O O
21	Çoğunlukla alınacak karar yeterli değildir	O O O O O
22	Dolayısı ile karar yasal olmadığı için kiraya verilen bu yerdeki kiracının tahliyesi için dava açmak mümkündür	O O O O O O O O O O O O O O O O
23	Öncelikle siz altı kiralanan blokun kat maliklerinin oyunu aramışsınız ama madem ki bir parselde bulunuyorsunuz hepinizin onlar kadar oy ve itiraz hakkı var	O O O O O O O O O O O O O O O O O O O O O O O
24	Şayet bloklar müstakil parseller üzerinde bulunsaydı o zaman sadece o blokun kat maliklerinin iznini almanız gerekecekti	O O O O O O O O O O O O O O O O
25	"Altan ÖYMEN "" ADLİYE muhabirliği "" , gazeteciliğin en önemli işlerinden biridir"	I-PER I-PER O O O O O O O O O O
26	Zamanında ben de yaptım	O O O O
27	"1950'li yılların başında adliye koridorlarıyla , duruşma salonlarının "" müdavim'lerinden oldum"	O O O O O O O O O O O
28	Pek çok dava izledim	O O O O
29	O zamanki adliye binalarını gözümün önüne getiriyorum : Hakim ve savcıların çalışma düzenleri , tutanak tutma usulleri , evrak muhafaza sistemleri ve bunları - izleyebildiğim kadarıyla - bugünkü koşullarla karşılaştırıyorum	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
30	Görüyorum ki , 50 yıla yakın bir zamandan beri pek az şey değişmiş	O O O O O O O O O O O O O
31	Hakim ve savcıların rahatça dosya tetkik edebilecekleri bir mekanda çalışma imkanları - en azından birçok yerde - hala yok	O O O O O O O O O O O O O O O O O O O
32	Duruşma salonları veya odaları birçok halde - dinleyiciler bir yana - davanın taraflarının bile duruşmayı doğru dürüst izleyebilmesine yetmiyor	O O O O O O O O O O O O O O O O O O O
33	Hele tutanak tutmak için kullanılan daktilo makineleri	O O O O O O O
34	Onlar ki eski zabıt katiplerinin elle tuttuğu tutanaklar döneminden sonra , mahkemelere bir çağdaşlık göstergesi gibi girmişlerdi	O O O O O O O O O O O O O O O O O
35	Tuşlara bakmadan da yazabilen katibelerin vuruşlarıyla çıkardıkları çatır çatır sesler kimseye rahatsızlık vermezdi	O O O O O O O O O O O O O
36	Tam tersine duruşmanın fon müziği gibi saygıyla dinlenirdi	O O O O O O O O
37	"O daktilolar , benim - nostaljiyle karışık - hala hoşuma gidiyor ama , dünyanın birçok yerinde , birçok yıldan beri artık "" antika eşya "" haline gelmişlerdir"	O O O O O O O O O O O O O O O O O O O O O O O O O O O
38	Dünyayı bırakıp Türkiye'ye bakalım	O O I-LOC O
39	"Gerçi ülkemizde , büyük özel kuruluşların çoğu tarafından çoktan gerçekleştirilen "" bilgisayarlaşma'nın uygulanamadığı kamusal kurumlar hala vardır"	O O O O O O O O O O O O O O O O O
40	Ama bunun ileri derecede uygulandığı kamusal kurumlar da vardır	O O O O O O O O O
41	""" Yargı "" kurumumuz , bu ikinciler arasına hala girememiştir"	O O O O O O O O O O
42	Bilgisayar yerine karbon kağıtlı daktilo çağında kalınınca , tabii , evrak sistemi de eski düzeninde kalıyor	O O O O O O O O O O O O O O O O
43	Delilleri , tutanakları içeren dosyalar çağdaş bir tasnife kavuşturulamıyor	O O O O O O O O O
44	Raflardaki veya - raflara sığmadığı için - yerlere istif edilmiş haldeki dosyalar arasında istediğinizi aratmak için ya dosya numarasını bileceksiniz , ya duruşma tarihini	O O O O O O O O O O O O O O O O O O O O O O O O
45	Davaya , davalıya veya konuya ilişkin verilerle sonuca varmanın imkanı yok	O O O O O O O O O O O
46	"Evet , adliyelerimizin çoğunda , teknolojinin en son aşaması hala "" karbon kağıtlı daktilo """	O O O O O O O O O O O O O O O
47	"Gerçi Ankara'daki Yargıtay binasında "" fotokopi "" aşamasına ulaşılmış"	O I-LOC I-ORG O O O O O O
48	Ama 32 daireli ve iki genel kurullu Yargıtay'ın demirbaşları arasında sadece iki fotokopi makinesi var	O O O O O O O I-ORG O O O O O O O
49	Bunu bir defalığına kullanmak için - bazen günlerce - beklemek gerekiyor	O O O O O O O O O O O
50	YARGITAY Başkanı'nın adalet yılını açarken vurguladığı , bizim de üç gündür değindiğimiz yargı sorunları , tabii , bunlarla da bitmiyor	I-ORG O O O O O O O O O O O O O O O O O O O
51	"Ama bunlardan sadece bir kısmı bile , ülkemizde köklü ve kapsamlı ( ve tabii , biraz da masraflı ) bir "" yargı reformu'nun bir an önce gerçekleşmesinin , yaşamsal bir zorunluluk olduğunu görmeye yetiyor"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
52	YAZIN son uzun haftasonunu da , bermutad , Ayvalık'ta geçirdim	O O O O O O O O I-LOC O
53	"Ayvalık'a tutkun olanlar için , oraya gidiş "" sevgiliye gider "" gibidir ; dönüş ise ondan ayrılır gibi"	I-LOC O O O O O O O O O O O O O O O O O
54	Ayvalık bu yıl birçok yeniliğe sahne oldu	I-LOC O O O O O O
55	"Üzerine üç yeni kitap çıktı : Ahmet Yorulmaz'ın "" Ayvalık'ta İz Bırakanlar "" ( Geylan Yayınevi ) adlı kitabının konusu , adında gizli"	O O O O O O I-PER I-PER O I-LOC O O O O I-ORG I-ORG O O O O O O O
56	"Herkül Millas'ın "" Ayvalık ve Venezis "" ( İletişim yayınları ) adlı kitabı , Ayvalık doğumlu Yunanlı yazar İlias Venezis'i ( 1904 - 73 ) ve eserlerindeki "" Türk imajı "" nı tanıtıyor"	I-PER I-PER O I-LOC O I-PER O O O O O O O O I-LOC O O O I-PER I-PER O O O O O O O O O O O O O
57	"Doç. Dr. Bayram Bayraktar' ın "" Osmanlı'dan Cumhuriyet'e Ayvalık Tarihi "" ( Atatürk Araştırma Merkezi Yayınları ) ise , daha ziyade Mütareke ve Kurtuluş Savaşı döneminde Ayvalık'ın resmi tarihi niteliğinde"	O O I-PER I-PER O O I-LOC O I-LOC O O O I-ORG I-ORG I-ORG O O O O O O O O O O O I-LOC O O O
58	Alev ve Halis Komili'nin Cunda boğazı sırtlarındaki , büyük bir zevk ve özenle yaptırdıkları ev bu yaz tamamlandı	I-PER I-PER I-PER I-PER I-LOC O O O O O O O O O O O O O
59	Yine TÜSİAD eski başkanlarından ( evlenme yoluyla Ayvalıklı ) Cem Boyner'in , yaptırmakta olduğu , Komililer'e komşu , ev ise henüz bitmedi	O I-ORG O O O O O O O I-PER I-PER O O O O I-PER O O O O O O
60	"Koç ailesinin sahibi olduğu Setur'un işletmeye başladığı modern "" Ayvalık Marinası "" da bu yazın getirdiği bir yenilik"	I-PER O O O I-ORG O O O O I-ORG I-ORG O O O O O O O
61	Ayvalık , Türkiye'nin büyük patronlarının yöreye duyduğu ilgiden memnun	I-LOC O I-LOC O O O O O O
62	Gelmekte olan yüklü zeytin mahsülü de sevinç değil , adeta kaygı vesilesi	O O O O O O O O O O O O
63	"Bu yılın başka bir ilki de Filiz Ali'nin Cunda'da , düzenlediği "" Uluslararası Ayvalık Yaylı Çalgılar ve Oda Müziği Uzmanlık Kursları "" oldu"	O O O O O O I-PER I-PER I-LOC O O O O O O O O O O O O O O
64	Bundan böyle her yaz tekrarlanacak	O O O O O
65	Yazın son akşamını da , Çağdaş Yaşamı Destekleme Derneği'nin kursun sona erişi dolayısıyla düzenlediği ve büyük ilgi gören konserde geçirdim	O O O O O I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O
66	"Öğrencilerin verdiği konserin mekanı , Ayvalık Belediyesi tarafından inşaatı yine bu yıl tamamlanan "" Huzurevi "" nin muhteşem manzaralı terasıydı"	O O O O O I-ORG I-ORG O O O O O O O O O O O O O
67	Konser vesilesiyle , Belediye Başkanı Ahmet Tüfekçi'nin dillere destan eserini yakından görme fırsatını buldum	O O O O O I-PER I-PER O O O O O O O
68	"Tüfekçi , Menderes döneminde DP'nin , Ecevit döneminde CHP'nin "" kalesi "" olan Ayvalık'ın MHP'den ( şahsına verilen oylarla ) seçilen ilk başkanı"	I-PER O I-PER O I-ORG O I-PER O I-ORG O O O O I-LOC I-ORG O O O O O O O O
69	Sonradan istifa edip bağımsız kalan Tüfekçi , belki Ayvalık'ın bugüne kadarki en çalışkan başkanı ; kenti arazi spekülatörlerine karşı kıskançlıkla koruyor , mevzuata aykırı inşaat yaptırmıyor	O O O O O I-PER O O I-LOC O O O O O O O O O O O O O O O O O
70	"Ne var ki aynı başkan , koruma altındaki kentin en yüksek tepesine , izin almadan kondurduğu devasa "" Huzurevi "" yüzünden Anıtlar Yüksek Kurulu ile mahkemelik"	O O O O O O O O O O O O O O O O O O O O O I-ORG I-ORG I-ORG O O
71	İşin içinden binanın askeriyeye devredilmesi suretiyle çıkılacağı söyleniyor	O O O O O O O O
72	"Her ne kadar girişinde "" Bu Huzurevi , isimsiz kahramanlar tarafından , Allah rızası için , Türklük aşkıyla yapılmıştır Arz olunur "" yazıyorsa da , bina için yapılan bağışlarda "" Allah rızası'ndan çok "" ruhsat aşkı "" rol oynamış olabilir"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
73	Bir an için kendimi , tek - parti dönemi Türkiyesi'nde hissettim	O O O O O O O O O I-LOC O
74	Ayrılmadan , Ayvalık kabristanındaki yakınlarımı ziyaret ettim	O O I-LOC O O O O
75	PKK'ya karşı savaşta can veren Ayvalıklı gençlerin mezarlarına rastladım	I-ORG O O O O O O O O
76	"Birinin babası , mezar taşına şunları yazmış : "" Kirli savaşın şanlı şehidiyim ; Uğruna canımı verdim vatana ; Acımı kardeşlerime , anama babama "" Gözyaşlarımı tutamadım"	O O O O O O O O O O O O O O O O O O O O O O O O O O O
77	SEVGİLİ İzmirliler	O O
78	Ertuğrul Özkök'ün dediği gibi kendi aranızda bir gün ve saat saptayın ve dışarı çıkıp birkaç dakika dans edin	I-PER I-PER O O O O O O O O O O O O O O O O
79	O cici kızlara destek verin , onlara suçlu gibi davranan o korkunç insanları protesto edin	O O O O O O O O O O O O O O O
80	N'olur bunu yapın	O O O
81	Belki zaten düşünmüşsünüzdür de , bu yazı çıkana dek dans etmiş olursunuz	O O O O O O O O O O O O
82	O korkunç insanlardan kurtulmamız için elimizden hiçbir şey gelmiyor ne yazık ki	O O O O O O O O O O O O
83	Şaşılası bir şey ama , şu ortamda bizim gibilerin , bir şeyleri engellemek için , yapabilecekleri hiçbir şey yok ne yazık ki	O O O O O O O O O O O O O O O O O O O O O O
84	Biz kimseye vuramayız , biz silah çekemeyiz , biz komplo kuramayız	O O O O O O O O O O O
85	Biz ya akşam olduğunda lambalarımızı söndürüp yakarız ya da çıkıp dans ederiz	O O O O O O O O O O O O
86	Elimizden başka bir şey gelmez korkunç bir çirkefin , acımasızlığın içinde azıcık kalan bizlerin	O O O O O O O O O O O O O O
87	Onun için çıkın dans edin	O O O O O
88	Yedinci çocuğuna hamileyken ölen ama bebeği kurtulan kadının kocasının dediklerini duydunuz	O O O O O O O O O O O
89	Ve Serdar Turgut , farklı bir yorumla şöyle kusuyor nefretini , halkçı olamam , çünkü olduğum takdirde , bu adamı da bir şekilde anlamam , açıklamam gerekecek .	O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O
90	Halbuki ben bu tür insanlardan tiksiniyorum ve bunların sayısı da maalesef sanıldığı kadar az değil memlekette .	O O O O O O O O O O O O O O O O O
91	""""	O
92	Hakkari'de bir eve konuk olmuştum	I-LOC O O O O
93	Ev dediğim , tabanı toprak bir göz taş oda , içinde en az on kişinin yaşadığı bir yer	O O O O O O O O O O O O O O O O O O
94	Kadının pek çok çocuğu vardı	O O O O O
95	"Ben de her zamanki saflığımla , ( hani konuşunca ve yazınca içiniz rahatlar , bir şeylerin düzeleceğini sanırsınız ya ) evin erkeğine "" artık doğurmasın bu kadın , bir sürü çocuğun var ."	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
96	"Okutabilecek , iyi bakabilecek kadar çocuğunuz olsa daha iyi olmaz mı "" demiştim"	O O O O O O O O O O O O O
97	Öylece bakmıştı suratıma gülerek	O O O O
98	"Geçenlerde bana haber yollamış , bir kadın geldi benim işime karıştı , başka çocuk doğurmayın dedi , söyleyin ona sekizinci çocuğum da oldu "" demiş"	O O O O O O O O O O O O O O O O O O O O O O O O O
99	"İçim katılıyor , üzülüyorum , ben "" halkçı'mıyım bilmiyorum ama , o kadın kurtulsun istiyorum"	O O O O O O O O O O O O O O O
100	Çok sayıda kadın rahim yırtılması yüzünden ölüyor	O O O O O O O
101	Bu kimsenin umurunda bile değil	O O O O O
102	"Serdar Turgut diyor ki ; ( ki ben onun bu ciddi ve kızgın yazılarını daha çok seviyorum ) "" ."	I-PER I-PER O O O O O O O O O O O O O O O O O O
103	yaygın bir karakter deformasyonu var memleketin insanlarında .	O O O O O O O O
104	Ve bu karakter deformasyonu nedeniyle toplum gün geçtikçe çürümekte .	O O O O O O O O O O
105	hayatı normal olarak yaşamaya çalışan insanların sayısı da gün geçtikçe azalıyor .	O O O O O O O O O O O O
106	""""	O
107	"Geçen gün Nazım Alpman'la konuşuyorduk , ayılarla iç içe yaşayan , sirklerde onlarla birlikte olan birisine , nasıl seviyorsun bu ayıları bu kadar "" diye sorulunca adam da şöyle demiş , onların içi insan , dışları ayı ."	O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
108	""""	O
109	"Şimdi bakıyorum da , yaşadığım yerlerde de , gittiğim yolculuklarda da , bizim ülkemizdeki insanların bir bölümünün de "" dışları insan , içleri ayı """	O O O O O O O O O O O O O O O O O O O O O O O O O
110	Karılarına durmadan çocuk doğurtan , eskiyince yenilerini alan , küçücük çocuklarını okutmayıp çalıştıran , kendinden bedenen güçsüz bir cinsi acımasızca döven , Ağrı'da karşılaştığım Ayşe gibi , çocuğu olmadığı için üzerine 19 yaşında bir kadın daha alıp iki göz odalı evde , eski karısının yanıbaşında onunla sevişen , elinde yetki olduğu halde insanlık adına hiçbir şey yapmayıp , onun bunun sırtından küpünü dolduran insanların içi insan olabilir mi	O O O O O O O O O O O O O O O O O O O O O O I-LOC O I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
111	Ben ayıları çok severim	O O O O
112	Onların içlerinin insan olmasını istemiyorum	O O O O O
113	İnsan konusunda kafam çok karıştı artık	O O O O O O
114	Dans eden çocukları suçlu diye yakalayacak kadar içleri nefret dolu olanlar insansa , bizler neyiz	O O O O O O O O O O O O O O O
115	75'inci yıla giderken , işte bugün mesela bir 12 Eylül	O O O O O O O O O O
116	Cumhuriyet'in 57'nci yıldönümüne giderkenki bir 12 Eylül'den bu yana 18 yıl geçmiş	O O O O O O O O O O O O
117	Ve Cumhuriyet , bu 12 Eylül'ün hesabını sormadan , daha doğrusu vermeden , 75'inci yıl coşkusuna davet ediyor bizi	O O O O O O O O O O O O O O O O O O O
118	Elbette coşarız	O O
119	Ama kutladığımız , bir doğumun 75'inci yılından ibarettir , 75 yılın 75'i değil	O O O O O O O O O O O O O
120	18 yıl önce yerinden sökülüp rehin alınmış bir başbakanın , zincirlerinden kurtulup yeniden başbakan ve sonra da 75'inci yılın cumhurbaşkanı olabilmesi onun hoşgörüsünü , unutkanlığını , kendisine çarpan darbeye karşı şefkatini , tetikteliğini çoğaltmış olabilir	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
121	Ama biz cumhurbaşkanı değiliz , cumhuruz , halkız	O O O O O O O O
122	Hayatta kalanlarımız , hayatlarındaki değişikliğin , bu 18 yılın onlara maddeten , fiziken , ruhen ekleyip çıkardıklarından ibaret olmasıyla yetinmek zorunda mı	O O O O O O O O O O O O O O O O O O O O O O
123	12 Eylül'ün lideri ile 12 Eylül'de indirip bugün cumhurbaşkanı olarak saydığını , 12 Eylül gölgesinde siyasete inmiş bugünün başbakanını , onun 12 Eylül çarpmış yardımcısını buluşturan ortak payda nedir	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
124	Cevap sorunun içinde değil mi	O O O O O
125	Hepsinde birer 12 Eylül	O O O O
126	Hala , ancak orada buluşabiliyorlar	O O O O O
127	Hala , ellerinde , ellerine tutuşturulmuş bir oniki eylül anayasası , ancak onun gölgesinde birbirlerine sokulup demokratlık oynayabiliyorlar	O O O O O O O O O O O O O O O O O O
128	"Hala , demokrasiye geçiş "" sürünmelerinde , demokrasiden vazgeçiş "" korkusuyla , rehin gibiler"	O O O O O O O O O O O O O O
129	Vesayet ruhumuzun derinliklerine kazındı	O O O O
130	Gölgelerde birer kukla olmak içimize işledi	O O O O O O
131	Silkinemediğimiz gibi o 18 yıl önceki basınçtan 18 yıldır , daha da sıkı sıkı yapışıveriyoruz sanki	O O O O O O O O O O O O O O O O
132	Adalet DGM'leriyle	O I-ORG
133	Eğitim YÖK'üyle	O I-ORG
134	Çalışan zımparalanmış örgütleriyle	O O O
135	Devlet tepeden tırnağa işleyişiyle	O O O O
136	İşte oradan miras çetelerle	O O O O
137	Hala 12 Eylüllerde değil mi	O O O O O
138	"Bir farkla : 18 yıl önceki 12 Eylül , sesi boğulmuş bir ülke yoluyla , Yunanistan'ın Batı kurumlarına , Türkiye'nin ise "" istikrar "" içinde piyasalara entegrasyonu işleviyle de donatılmışken , bugünkü 12 Eylül'ün hareket ve harekat alanı "" içeri'nin zapturaptından ve sıcak bir bölgesel krizde ileri karakolluğa aday olmaktan ibaret"	O O O O O O O O O O O O O O O I-LOC O O O I-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
139	"İlkinin ardından , sahte , yalancı da olsa bir dışa dönük liberalizm rüzgarı esmesine karşılık , bugünkünün ardından körüklenebilecek temel rüzgar ancak "" milliyetçi "" olabilecek bu yüzden"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
140	Daha içe dönük , daha içe kapanık	O O O O O O O
141	Türkiye'nin demokratikleşme ve saygınlık kazanma , vatandaşını sayabilme projesi ancak , tarihiyle ve bugünüyle , icraatıyla ve içimize kazıdıklarıyla , 12 Eylül'ün topyekün tasfiyesi sayesinde mümkün	O O O O O O O O O O O O O O O O O O O O O O O O O O
142	Bunu kendisine samimi iş edinmeyen hiçbir siyasi odaktan bu ülkenin önünü açabilmesini beklemeyin	O O O O O O O O O O O O O
143	Ve 18'in üstüne eklenecek , geçen 18 tane gibi her yıl , içimizi daha çok karartacak	O O O O O O O O O O O O O O O O
144	NE yapsanız , bazı şeyler , bazı insanlara yakışmıyor ; ya da onlar kendilerine yakıştıramıyorlar	O O O O O O O O O O O O O O O
145	Buna giyimde , kuşamda , siyasette , bilimde , her yerde rastlanıyor	O O O O O O O O O O O O
146	Adam en iyi kumaştan , en usta terziye elbise diktirir , giyer , üzerinden dökülür , üstelik o elbiseye öyle bir kravat takar ki	O O O O O O O O O O O O O O O O O O O O O O O O
147	Siyasetçi vardır , bakanlık koltuğuna oturduğu gün , iki şey söyler , bakanlığın kendisine yakıştığını anlarsınız	O O O O O O O O O O O O O O O O
148	AMA nedense , Mesut Yılmaz'a , Başbakanlık yakışmıyor , daha doğrusu o kendisine Başbakanlığı yakıştırmıyor	O O O I-PER I-PER O O O O O O O O O O
149	Bu üçüncü Başbakanlığı , ikisinde çekip gitti , üç ay sonra yine çekip gidecek	O O O O O O O O O O O O O O
150	Kimse Mesut Yılmaz'ın Başbakanlığı istemediğini söyleyemez , niçin istemesin , ama nedense o koltukta oturamıyor	O I-PER I-PER O O O O O O O O O O O O
151	"KAÇ gündür İstanbul dışındayız , siyasetten laf açıldı mı , ilk soru : "" Tansu Çiller geliyor mu ."	O O I-LOC O O O O O O O O O O O I-PER I-PER O O O
152	""""	O
153	Tarih 1 Mart 1815'tir	O O O O
154	"Haberi , Paris gazeteleri şu başlıkla duyurur : "" CANAVAR ZİNCİRLERİNDEN BOŞALDI """	O O I-LOC O O O O O O O O O O
155	"Ya da : "" Maceraperest Elbe'den kaçtı """	O O O O O I-LOC O O
156	"NAPOLYON çevresine topladığı taraftarlarıyla , Paris'e yürümektedir , gazetelerde tereddüt başlar : "" Fransa , kan dökücünün hevesine , yine mi sahne olacak ."	I-PER O O O O I-PER O O O O O O O O O O O O O O O O O O
157	""""	O
158	""" Sicilli maceraperest , vatanı yine pençesi altına mı alacak ."	O O O O O O O O O O O
159	""""	O
160	Kral 18. Louis tacını tahtını bıraktığı gibi kaçar	O I-PER I-PER O O O O O
161	"NAPOLYON'un Paris'e yaklaşmasıyla , gazetelerin başlıkları doğru orantılı olarak değişir : "" Napolyon Paris yollarında ."	I-PER I-LOC O O O O O O O O O O I-PER I-LOC O O
162	""""	O
163	"Bir gün sonra ; "" canavar "" sıfatı "" imparator'la yer değiştirir : "" Paris yolları İmparator'a açık ."	O O O O O O O O O O O O O O I-LOC O O O O
164	""""	O
165	"İki gün sonra : "" Fransızlar , İmparatorlarını özlediklerini ispat ediyorlar ."	O O O O O O O O O O O O
166	""""	O
167	"Üç gün sonra : "" Şehirler , şehir halkı İmparatorlarını heyecanla karşılıyorlar ."	O O O O O O O O O O O O O
168	""""	O
169	"Napolyon , Paris'e girmeden bir gün önce : "" Hoş geldin kurtarıcı , millet ve bayrak seni kucaklıyor ."	I-PER O I-LOC O O O O O O O O O O O O O O O O
170	""""	O
171	"Ve Napolyon Paris'e girmiştir , gazeteler , Paris halkının duygusunu ertesi gün şöyle yansıtırlar : "" Paris , halaskarı , kurtarıcıyı şükranla bağrına bastı ."	O I-PER I-LOC O O O O I-LOC O O O O O O O O O O O O O O O O O
172	""""	O
173	""" TANSU Hanım geliyor mu ."	O I-PER O O O O
174	""" diye soranlara bunu anlatıyoruz"	O O O O O
175	""" Bunu daha önce de yazmıştınız ."	O O O O O O O
176	""" diyenlere "" Evet , yazmıştık "" karşılığını veriyoruz : "" Evet , yazmıştık ."	O O O O O O O O O O O O O O O
177	1989'da yazmıştık , o zaman kurtar bizi baba , diye bağırıyorlardı , neyi kurtardı gördüler .	O O O O O O O O O O O O O O O O
178	Şimdi de kurtar bizi anamız , kurtar bizi bacımız , diye bağıranlar , neyi kurtardıklarını , ya da kurtaramadıklarını anlayacaklar .	O O O O O O O O O O O O O O O O O O O O O
179	""""	O
180	MALUM çevreler türban konusunu tırmandırmaya devam ediyor	O O O O O O O
181	Amaçları belli	O O
182	Bugüne kadar olduğu gibi türbanı ve dini duyguları istismar ederek yeni taraftar kazanmak	O O O O O O O O O O O O O
183	Türban istismarcılarının eğitimle uzaktan yakından ilgilerinin olmadığını , bizim gibi eğitimin içinde olan herkes bilir	O O O O O O O O O O O O O O O
184	Onlar için eğitim gibi , kendilerinden olmayan çocuk ve gençler de hiç önemli değil	O O O O O O O O O O O O O O
185	İnsan hakları ve demokrasi gibi erdemler ise kendileri söz konusu olduğu zaman akıllarına gelir	O O O O O O O O O O O O O O
186	Siz hiç Refah Partisi'nin , tarikatların , dinci basının üniversite önündeki yüz binlerce gencin sorunlarıyla ilgilendiklerini , okuldan atılanların mağduriyetlerine çözüm aradıklarını , üniversiteye girişte müktesep hakların gasbedilmesine tepkilerini hiç gördünüz mü	O O I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
187	Ya da öğretmen , öğrenci ve velilerin diğer sorunları konusunda yapıcı bir adım attıklarına şahit oldunuz mu	O O O O O O O O O O O O O O O O O
188	Keşke olabilseydik	O O
189	Siyasi tavırları bir yana eğitime gönül verdikleri için ilk alkışlayan biz olurduk	O O O O O O O O O O O O
190	Başbakan Yılmaz'ın türban konusunda takındığı tavrın da , eski RP'lilerden hiçbir farkı yok	O I-PER O O O O O O O I-ORG O O O
191	Tıpkı onlar gibi istismar etmeye devam ediyor	O O O O O O O
192	Nasıl ki gecekonduculardan alınacak üç beş oy uğruna büyük kentler talan edildiyse , ucuz politika uğruna türban konusunda da yasa ve yönetmelikler paçavra gibi buruşturulup bir kenara atılıyor	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
193	Hem de bu yasaları koruyup , kollamak üzere şerefi üzerine yemin edenler tarafından	O O O O O O O O O O O O O
194	Başbakan dekanlarla görüştüğünü , türban yasağının yumuşatılacağını söylüyor	O O O O O O O O
195	Dekanlardan kastı , herhalde rektörler olacak	O O O O O O
196	O kadar pot , Çiller gibi onun için de fazla sayılmaz	O O O O I-PER O O O O O O
197	"Ama daha önemlisi "" görüştüm "" dediği rektörlerin böyle bir görüşmeden haberdar olmaması"	O O O O O O O O O O O O O
198	Kimlerle nerede ne zaman neler görüştü , açıklasa da öğrensek	O O O O O O O O O O
